Year,Level 0,Level 1,Level 2,Level 3,Level 4,Current Metric,Value
2018,Gross Profit,,,,,"Selling, General and Administrative",16241000000.0
2018,Gross Profit,,,,,Research and Development,22754000000.0
2018,Operating Income,,,,,EBIT,104463000000.0
2018,Operating Income,EBIT,,,,EBITDA,111583000000.0
2018,Operating Income,EBIT,EBITDA,,,Net Income,64093000000.0
2018,Operating Income,EBIT,EBITDA,Net Income,,Net Income from Continuing Operations,61412000000.0
2018,Operating Income,EBIT,EBITDA,Net Income,,Comprehensive Income Net of Tax,
2018,Operating Income,EBIT,,,,Income Before Tax,100403000000.0
2018,Operating Income,EBIT,Income Before Tax,,,Income Tax Expense,18199000000.0
2018,Operating Income,,,,,Operating Expenses,73414000000.0
2018,Operating Income,,,,,Depreciation,
2018,Operating Income,,,,,Depreciation and Amortization,7120000000.0
2018,EBIT,,,,,EBITDA,111583000000.0
2018,EBIT,EBITDA,,,,Net Income,64093000000.0
2018,EBIT,EBITDA,Net Income,,,Net Income from Continuing Operations,61412000000.0
2018,EBIT,EBITDA,Net Income,,,Comprehensive Income Net of Tax,
2018,EBIT,,,,,Income Before Tax,100403000000.0
2018,EBIT,Income Before Tax,,,,Income Tax Expense,18199000000.0
2018,Income Before Tax,,,,,Income Tax Expense,18199000000.0
2018,EBITDA,,,,,Net Income,64093000000.0
2018,EBITDA,Net Income,,,,Net Income from Continuing Operations,61412000000.0
2018,EBITDA,Net Income,,,,Comprehensive Income Net of Tax,
2018,Net Income,,,,,Net Income from Continuing Operations,61412000000.0
2018,Net Income,,,,,Comprehensive Income Net of Tax,
2018,Net Interest Income,,,,,Interest Income,30495000000.0
2018,Net Interest Income,,,,,Interest Expense,3566000000.0
2017,Total Revenue,,,,,Cost of Revenue,59483000000.0
2017,Total Revenue,,,,,Gross Profit,98790000000.0
2017,Total Revenue,Gross Profit,,,,Operating Income,48055000000.0
2017,Total Revenue,Gross Profit,Operating Income,,,EBIT,60636000000.0
2017,Total Revenue,Gross Profit,Operating Income,EBIT,,EBITDA,74928000000.0
2017,Total Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,43675000000.0
2017,Total Revenue,Gross Profit,Operating Income,EBIT,,Income Before Tax,60029000000.0
2017,Total Revenue,Gross Profit,Operating Income,EBIT,Income Before Tax,Income Tax Expense,13776000000.0
2017,Total Revenue,Gross Profit,Operating Income,,,Operating Expenses,50284000000.0
2017,Total Revenue,Gross Profit,Operating Income,,,Depreciation,
